dir,run,type,sigma,seed,eval_step,oracle_epoch,oracle_rmse,tik_disc_rmse,tik_oracle_rmse,tau,epoch,rmse_truth,fit
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,0.9000,,,
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,1.0000,120.0000,0.5940,0.4950
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,1.1000,40.0000,0.7392,0.5387
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,1.2000,40.0000,0.7392,0.5387
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,1.3000,40.0000,0.7392,0.5387
e2,white0.5_s1,white,0.5000,1,10,120,0.5940,1.1894,1.1184,1.5000,40.0000,0.7392,0.5387
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,0.8000,,,
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,0.9000,,,
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,1.0000,60.0000,0.5699,0.4954
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,1.1000,60.0000,0.5699,0.4954
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,1.2000,60.0000,0.5699,0.4954
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,1.3000,60.0000,0.5699,0.4954
e2,white0.5_s2,white,0.5000,2,10,60,0.5699,1.1905,1.1160,1.5000,50.0000,0.9064,0.6898
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,0.8000,,,
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,0.9000,,,
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,1.0000,60.0000,1.0592,0.9745
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,1.1000,60.0000,1.0592,0.9745
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,1.2000,50.0000,1.2648,1.1222
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,1.3000,50.0000,1.2648,1.1222
e2,white1_s0,white,1.0000,0,10,60,1.0592,1.7538,1.6826,1.5000,10.0000,2.5866,1.3817
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,0.8000,,,
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,0.9000,,,
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,1.0000,60.0000,1.1355,0.9656
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,1.1000,60.0000,1.1355,0.9656
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,1.2000,40.0000,1.4168,1.1020
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,1.3000,40.0000,1.4168,1.1020
e2,white1_s1,white,1.0000,1,10,60,1.1355,1.7360,1.6743,1.5000,20.0000,2.2035,1.3521
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,0.8000,,,
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,0.9000,,,
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,1.0000,60.0000,1.1040,0.9823
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,1.1000,60.0000,1.1040,0.9823
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,1.2000,40.0000,1.3833,1.1523
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,1.3000,10.0000,2.2428,1.2768
e2,white1_s2,white,1.0000,2,10,60,1.1040,1.7331,1.6649,1.5000,10.0000,2.2428,1.2768
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,0.8000,,,
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,0.9000,,,
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,1.0000,39.0000,2.2641,1.9964
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,1.1000,11.0000,2.1192,2.0846
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,1.2000,7.0000,3.4515,2.3932
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,1.3000,6.0000,4.0586,2.5453
e2b,white2_s0,white,2.0000,0,1,17,1.8150,2.5471,2.4885,1.5000,5.0000,4.8352,2.8589
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,0.8000,,,
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,0.9000,,,
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,1.0000,32.0000,2.1401,1.9695
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,1.1000,29.0000,2.6767,2.1586
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,1.2000,9.0000,3.3041,2.3283
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,1.3000,8.0000,3.5855,2.3964
e2b,white2_s1,white,2.0000,1,1,33,2.1299,2.5294,2.4863,1.5000,5.0000,5.1762,2.8978
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,0.8000,,,
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,0.9000,,,
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,1.0000,44.0000,2.4255,1.9626
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,1.1000,12.0000,2.0926,2.0912
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,1.2000,8.0000,2.8416,2.2158
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,1.3000,7.0000,3.6404,2.4643
e2b,white2_s2,white,2.0000,2,1,15,1.8819,2.5148,2.4618,1.5000,5.0000,5.1849,2.9240
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,0.8000,,,
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,0.9000,,,
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,1.0000,18.0000,2.3506,2.9890
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,1.1000,8.0000,3.5357,3.2594
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,1.2000,5.0000,4.8684,3.5927
e2b,white3_s0,white,3.0000,0,1,18,2.3506,3.0904,3.0904,1.3000,5.0000,4.8684,3.5927
